,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE
AMG,0.8194350135604486,0.8277733537414608,-0.0851953050142684,0.44525099207463165,0.7681122031001802,0.663213121825167,0.6100956715015469,-0.39031674053130855,0.8268557298764618,-0.2146658928265281,1.0,0.8179026661389971,0.6336108061398086,0.8556413943919916,0.3629639428758446,0.7854876861669439,0.7985955262191554,0.7849216695077451,0.8921520314513063,0.5315573342042511,-0.4604747962641523,0.8302864360354124,0.93975266206654,0.8119427925034342,0.7786822307819807,0.7088471498025819,0.7061972863865391,0.8150366772800074,0.6029158784977375,0.7281591201536974
AFL,0.972413903931937,0.9617393952588215,0.940008491242323,0.8219123118320998,0.9741349359820719,0.9476542093232713,0.9169712188394095,-0.2451370753720789,0.833929232687788,-0.21100794323331196,0.8179026661389971,1.0,0.8163064652605937,0.9789144287522096,0.3635488593507514,0.881684590523208,0.9409319913029703,0.9379712574484497,0.7933406549351151,0.8750142780528579,0.9347371509611857,0.778369611922603,0.8489527297522264,0.9690461068242794,0.930106880810017,0.9778193539078838,0.9787972118924699,0.9424813410471645,0.9233594678087785,0.9302647513139853
A,0.8220323819429101,0.8124837129115926,0.9425402377535094,0.7838979530233429,0.9667397662367735,0.8278381738913664,0.8442892331910155,0.09321225614666706,0.8002077201370242,0.1835951352219282,0.6336108061398086,0.8163064652605937,1.0,0.8013898017232725,0.6805143482365732,0.7816830346675483,0.7931699668022731,0.7297467662695065,0.6791318065094079,0.8863679295528731,0.9138781112829876,0.6824066253041794,0.8311698909950641,0.831966078283686,0.781201951930635,0.9669390306187384,0.9686247289129702,0.7949029821364326,0.8398762907251581,0.7698701210862801
APD,0.9788197595476138,0.9694613157705613,0.9242992880475707,0.779016401639943,0.9749936771347917,0.9275425172327116,0.883903341825881,-0.3098261963502162,0.8972753950693425,-0.2327525703833763,0.8556413943919916,0.9789144287522096,0.8013898017232725,1.0,0.38006753173982577,0.9214022073325855,0.9320105183961487,0.9293341314852003,0.8552622264169294,0.8287100174125057,0.9263740450773121,0.8470555815798622,0.9009841925642649,0.9792088473373749,0.9172029234942253,0.9730072100664875,0.9718324765111176,0.9679314214725452,0.8922849258462457,0.9154715149530576
AKAM,0.3593396011925999,0.3829902049201552,0.5682152936616559,0.34995058555353015,0.8152915844715043,0.3443874801531038,0.37951546680629117,0.11356600407201106,0.8491671185648098,0.3328727880202302,0.3629639428758446,0.3635488593507514,0.6805143482365732,0.38006753173982577,1.0,0.4080258253318577,0.34352576320138545,0.32261606108535185,0.41856090418359454,0.6348383362361537,0.22245797546886423,0.4047984568803533,0.8566458220426006,0.39538097953155144,0.3185555975410168,0.7915043548886331,0.7893304726161262,0.3778509700154087,0.3724077954456853,0.2953924134619331
ALK,0.9370100332550572,0.8954831078587964,0.5235937394811909,0.6951574490863137,0.9174574939429949,0.857240374073678,0.7951904506943334,-0.24545422312036386,0.923017295657602,-0.16390198730245367,0.7854876861669439,0.881684590523208,0.7816830346675483,0.9214022073325855,0.4080258253318577,1.0,0.8344365507380851,0.8141570296775305,0.8709906184347318,0.7102147206452033,0.5833504061058389,0.9343255290542901,0.8994639421330444,0.9447311991672506,0.8695022680552312,0.9061928147637786,0.90041322914958,0.9689747828176103,0.8198534378748751,0.8646660577610649
ALB,0.9291128249214833,0.9059258794173608,0.7538549400723354,0.7103392175441584,0.9274093635076949,0.8947145727329872,0.8230487199928562,-0.2977782466074714,0.7594833649744651,-0.23469482185272061,0.7985955262191554,0.9409319913029703,0.7931699668022731,0.9320105183961487,0.34352576320138545,0.8344365507380851,1.0,0.8975083593193024,0.767755529351998,0.7945506606666513,0.8255299370422222,0.7098145016535082,0.8098375295350057,0.9402803492146505,0.8452631005407697,0.9065633742901019,0.9080791928742861,0.9198484122384751,0.8487500240404529,0.8564706283943447
ARE,0.9082126310997934,0.8787928325755259,0.8986572691136427,0.7538824919150791,0.8999191671887938,0.8957078849421803,0.8585358655308181,-0.1771057249581923,0.7559952250856175,-0.24110338485161112,0.7849216695077451,0.9379712574484497,0.7297467662695065,0.9293341314852003,0.32261606108535185,0.8141570296775305,0.8975083593193024,1.0,0.6863130048663022,0.8039450742906394,0.9545225353251499,0.6801703925589722,0.7544005871304842,0.9052074824571089,0.92022233516213,0.9028485949736549,0.903012914892116,0.8871067771559342,0.841108961533562,0.9350544741380878
ALXN,0.8272558850153561,0.8677304493881189,-0.11595504453701364,0.502060886016857,0.8172555398827535,0.6800357860941458,0.6221899936579737,-0.44726583265409864,0.9348912493082924,-0.1797187465604921,0.8921520314513063,0.7933406549351151,0.6791318065094079,0.8552622264169294,0.41856090418359454,0.8709906184347318,0.767755529351998,0.6863130048663022,1.0,0.5481102380661037,-0.6505357421977289,0.944656464780033,0.9748013819229822,0.8541467340685105,0.708967108000359,0.7514664606151649,0.7463811120289202,0.867825090677677,0.6573729652493907,0.6879558891149078
ALGN,0.8575324556095465,0.8651085666869435,0.9118590497921222,0.9720184727071683,0.8889825007740657,0.9409168510242407,0.9737653118837989,0.0836629491910639,0.6091971304582038,0.0026975901037295195,0.5315573342042511,0.8750142780528579,0.8863679295528731,0.8287100174125057,0.6348383362361537,0.7102147206452033,0.7945506606666513,0.8039450742906394,0.5481102380661037,1.0,0.8299999259676014,0.5508554798899041,0.6183829957184501,0.8354810433267732,0.8629357003124183,0.8962571211306367,0.9012261485768625,0.7715871096652577,0.9704833122794144,0.8652108576865424
ALLE,0.9406759044063112,0.8300059321083054,0.8616472033806652,0.8351052387724289,0.9485335977556657,0.9366008340022542,0.883973302966826,0.8163380529449002,-0.10766424332996288,0.1400426173503904,-0.4604747962641523,0.9347371509611857,0.9138781112829876,0.9263740450773121,0.22245797546886423,0.5833504061058389,0.8255299370422222,0.9545225353251499,-0.6505357421977289,0.8299999259676014,1.0,-0.3737991283195743,-0.43659138638603684,0.943438377800746,0.9276608104571522,0.9305686008736246,0.9280347679804541,0.8270955994866508,0.8924862964133026,0.9459240736442583
AGN,0.8426774699617335,0.8352291197520147,0.02109959244107669,0.5303852061012312,0.813037528966991,0.704730131871375,0.6430130491614183,-0.34748897372960214,0.9445220442757154,-0.1330301428802352,0.8302864360354124,0.778369611922603,0.6824066253041794,0.8470555815798622,0.4047984568803533,0.9343255290542901,0.7098145016535082,0.6801703925589722,0.944656464780033,0.5508554798899041,-0.3737991283195743,1.0,0.9443585975435467,0.8537756530746698,0.753087142799514,0.7819515005595552,0.7742326745076545,0.8865927502309374,0.6679253580530627,0.7256091157077172
ADS,0.8795944533629605,0.8980551364417872,0.1218566835652836,0.5609279776529615,0.8619108392997475,0.7330271099775894,0.6880712474657517,-0.3409478763910909,0.9366732992474016,0.058992516931692954,0.93975266206654,0.8489527297522264,0.8311698909950641,0.9009841925642649,0.8566458220426006,0.8994639421330444,0.8098375295350057,0.7544005871304842,0.9748013819229822,0.6183829957184501,-0.43659138638603684,0.9443585975435467,1.0,0.887245725131661,0.7889679224192885,0.8190528671564506,0.8149177133457466,0.8979724292644303,0.7054555286530121,0.7524189103010313
