Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE
2009-07-08,46.45657730102539,15.275805473327635,,8.170000076293945,26.21315193176269,10.438782691955566,26.46999931335449,3.359999895095825,43.03945541381836,9.03012466430664,52.6176872253418,9.116984367370604,12.448559761047365,44.028621673583984,18.290000915527344,4.2941250801086435,20.446931838989254,24.18512916564941,18.5,9.390000343322754,,32.22249221801758,36.6339111328125,6.65269136428833,18.986852645874023,201.44644165039062,199.94454956054688,10.371081352233887,77.36000061035156,15.503161430358887
2009-07-09,46.51167678833008,15.150456428527832,,7.960000038146973,26.00441169738769,10.502431869506836,27.420000076293945,3.4800000190734863,43.01022338867188,9.153151512145996,52.68680191040039,9.164472579956056,12.494884490966795,44.694435119628906,18.190000534057614,4.2578887939453125,20.551084518432614,24.222808837890625,18.434999465942386,9.270000457763672,,31.85025978088379,37.367767333984375,6.624228477478027,18.938217163085934,205.40040588378903,203.86903381347656,10.339463233947754,78.0999984741211,15.496546745300293
2009-07-10,47.06266403198242,14.978931427001953,,7.9099998474121085,26.2532901763916,10.26601505279541,27.57999992370605,3.490000009536743,43.06870651245117,9.169553756713867,52.00550842285156,9.069502830505373,12.547829627990724,44.843204498291016,18.489999771118164,4.606673240661621,20.61182403564453,23.4465389251709,18.75,9.350000381469727,,31.55438804626465,36.81982421875,6.5569496154785165,18.71121406555176,207.40740966796875,205.86106872558597,10.415349006652832,77.62999725341797,15.450243949890135
2009-07-13,47.61367416381836,15.507739067077635,,7.920000076293945,26.78317832946777,10.311480522155762,28.3700008392334,3.559999942779541,43.79008483886719,9.399203300476074,54.335731506347656,9.705791473388672,12.832406044006348,45.94107055664063,18.920000076293945,4.701796054840088,21.18462371826172,24.44137382507324,19.1299991607666,9.760000228881836,,31.99344253540039,37.80807876586914,6.621640205383301,19.99213981628418,212.36236572265625,210.77908325195312,10.535501480102539,81.47000122070312,15.675122261047365
2009-07-14,47.7238655090332,15.621984481811525,,7.8499999046325675,27.06417655944824,10.320573806762695,28.29999923706055,3.5499999523162837,43.273414611816406,9.505825996398926,55.53047180175781,9.933714866638184,12.89858627319336,46.07565307617188,19.06999969482422,4.695001602172852,21.32347869873047,24.870960235595703,19.475000381469727,9.6899995803833,,31.974349975585934,36.98616027832031,6.678567409515381,19.448963165283203,212.55755615234372,210.9728240966797,10.52285385131836,81.94999694824219,15.847084999084473
2009-07-15,48.80223083496094,15.215386390686035,,8.149999618530272,27.32912254333496,10.511526107788086,29.85000038146973,3.859999895095825,43.79008483886719,9.932316780090332,57.74220275878906,10.25028133392334,13.60671615600586,47.69060516357422,19.729999542236328,4.867128849029541,22.48641967773437,25.77536964416504,19.364999771118164,10.0,,31.974349975585934,42.35796356201172,6.807948112487793,20.15428733825684,219.30430603027344,217.6692657470703,10.655653953552246,84.55000305175781,16.243921279907227
2009-07-16,49.90422439575195,15.101137161254885,,8.149999618530272,27.59405517578125,10.511526107788086,30.8700008392334,3.920000076293945,44.26776123046875,9.915912628173828,57.65333938598633,10.000194549560547,13.785404205322266,48.51931762695313,20.18000030517578,4.828626155853272,23.06789207458496,25.97131538391113,19.575000762939453,10.210000038146973,,31.78345489501953,45.75325393676758,6.800185203552246,19.862424850463867,221.5215148925781,219.86996459960938,10.744190216064453,86.11000061035156,16.276996612548828
2009-07-17,49.5263900756836,14.943203926086426,,8.079999923706055,27.64222717285156,10.638829231262207,31.020000457763672,4.0,44.12153244018555,9.78468418121338,58.3543815612793,9.971705436706543,13.871439933776855,47.99517440795898,19.63999938964844,4.787858963012695,22.746782302856445,25.813051223754886,19.2450008392334,10.300000190734863,,31.7261962890625,45.30315780639648,6.650104999542236,19.65163803100586,215.34034729003903,213.73486328125,10.965521812438963,85.8499984741211,15.985979080200195
2009-07-20,50.25055694580078,15.124663352966307,,7.920000076293945,27.56194877624512,10.893433570861816,31.209999084472656,4.170000076293944,44.46273040771485,10.09635066986084,60.78335189819336,10.345248222351074,14.26851749420166,48.56890106201172,20.420000076293945,4.989431381225586,22.89430809020996,26.90585517883301,19.295000076293945,10.43000030517578,,31.49711990356445,46.10550308227539,6.657867431640625,19.65163803100586,215.30029296875,213.6951141357422,10.92125415802002,88.2300033569336,16.197620391845707
2009-07-21,50.53393173217773,15.12130069732666,,7.71999979019165,27.497711181640625,10.857060432434082,31.26000022888184,4.079999923706056,44.96966552734375,10.047140121459961,61.25728988647461,10.525684356689453,14.215578079223633,49.36929321289063,20.31999969482422,4.69953203201294,22.868276596069336,26.80788803100586,19.40999984741211,9.359999656677246,,32.002979278564446,46.91763687133789,6.745844841003418,20.008358001708984,214.16416931152344,212.5674591064453,10.95919704437256,89.01000213623047,16.382814407348633
